Label 	 Pattern 	 Pattern_num 	 P(class|pattern) 	 Supp in class 	 Supp in data 
0	['col_814', 'col_895', 'col_938', 'col_951', 'col_1778', 'col_1813', 'col_1843', 'col_1869', 'col_1877', 'col_1883', 'col_1884', 'col_1901', 'col_1907', 'col_1911', 'col_1916', 'col_1961', 'col_1980', 'col_1990', 'col_1995']	[819, 900, 943, 956, 1783, 1818, 1848, 1874, 1882, 1888, 1889, 1906, 1912, 1916, 1921, 1966, 1985, 1995, 2000]	50.0	0.0294	0.0286
0	['col_998']	[1003]	47.7	19.5057	19.8571
0	['col_1151', 'col_1238']	[1156, 1243]	49.94	12.2095	11.8714
0	['col_1207']	[1212]	48.35	20.2707	20.3571
0	['col_1316']	[1321]	47.66	19.7411	20.1143
0	['col_1322', 'col_1469', 'col_1492', 'col_1511', 'col_1615']	[1327, 1474, 1497, 1516, 1620]	47.01	3.2362	3.3429
0	['col_1389']	[1394]	49.38	20.9179	20.5714
0	['col_1565', 'col_1577', 'col_1581', 'col_1582', 'col_1585', 'col_1600', 'col_1606', 'col_1607', 'col_1609', 'col_1610', 'col_1612', 'col_1614']	[1570, 1582, 1586, 1587, 1590, 1605, 1611, 1612, 1614, 1615, 1617, 1619]	34.78	0.2354	0.3286
0	['col_1607']	[1612]	47.38	19.9176	20.4143
0	['col_1638', 'col_1848', 'col_1878']	[1643, 1853, 1883]	48.94	7.4728	7.4143
0	['col_1661', 'col_1662', 'col_1670', 'col_1705']	[1666, 1667, 1675, 1710]	50.61	6.0606	5.8143
0	['col_1701', 'col_1800', 'col_1893']	[1706, 1805, 1898]	49.35	7.767	7.6429
0	['col_1741']	[1746]	48.88	19.8588	19.7286
0	['col_1993']	[1998]	49.48	21.0944	20.7
1	['Attribute 1', 'Attribute 2', 'Attribute 3', 'Attribute 4', 'Attribute 5', 'Attribute 6', 'col_1278', 'col_1280', 'col_1308', 'col_1324', 'col_1326', 'col_1329', 'col_1360', 'col_1363', 'col_1369', 'col_1398', 'col_1412', 'col_1508', 'col_1748']	[0, 1, 2, 3, 4, 5, 1283, 1285, 1313, 1329, 1331, 1334, 1365, 1368, 1374, 1403, 1417, 1513, 1753]	45.99	1.7495	1.9571
1	['Attribute 6']	[5]	89.78	22.4382	12.8571
1	['Attribute 6', 'col_451', 'col_1846']	[5, 456, 1851]	49.69	15.3846	15.9286
1	['Attribute 6', 'col_894', 'col_913', 'col_923', 'col_956', 'col_962', 'col_973', 'col_986', 'col_993', 'col_1001', 'col_1005', 'col_1012', 'col_1015', 'col_1019']	[5, 899, 918, 928, 961, 967, 978, 991, 998, 1006, 1010, 1017, 1020, 1024]	37.5	0.3332	0.4571
1	['Attribute 6', 'col_1630']	[5, 1635]	50.75	19.7723	20.0429
1	['col_8', 'col_17', 'col_78', 'col_147', 'col_148', 'col_224', 'col_254', 'col_476', 'col_501', 'col_1196']	[13, 22, 83, 152, 153, 229, 259, 481, 506, 1201]	45.61	0.722	0.8143
1	['col_17', 'col_31', 'col_39', 'col_70', 'col_155', 'col_193', 'col_224', 'col_237', 'col_281', 'col_381', 'col_722', 'col_852', 'col_1063', 'col_1767', 'col_1873', 'col_1976']	[22, 36, 44, 75, 160, 198, 229, 242, 286, 386, 727, 857, 1068, 1772, 1878, 1981]	57.14	0.1111	0.1
1	['col_17', 'col_100', 'col_445']	[22, 105, 450]	46.96	7.3035	8.0
1	['col_139', 'col_162', 'col_168', 'col_216', 'col_249', 'col_279', 'col_280', 'col_284', 'col_296', 'col_320', 'col_335', 'col_343', 'col_344', 'col_347', 'col_351']	[144, 167, 173, 221, 254, 284, 285, 289, 301, 325, 340, 348, 349, 352, 356]	53.33	0.2222	0.2143
1	['col_252', 'col_1451', 'col_1455', 'col_1456', 'col_1467', 'col_1481', 'col_1487', 'col_1493', 'col_1498', 'col_1529', 'col_1570', 'col_1605', 'col_1610', 'col_1659', 'col_1765', 'col_1826', 'col_1848']	[257, 1456, 1460, 1461, 1472, 1486, 1492, 1498, 1503, 1534, 1575, 1610, 1615, 1664, 1770, 1831, 1853]	33.33	0.0555	0.0857
1	['col_270', 'col_281', 'col_475', 'col_492', 'col_1555', 'col_1570', 'col_1605', 'col_1638', 'col_1659', 'col_1754']	[275, 286, 480, 497, 1560, 1575, 1610, 1643, 1664, 1759]	42.62	0.722	0.8714
1	['col_270', 'col_711', 'col_725', 'col_761', 'col_774', 'col_835', 'col_890', 'col_898', 'col_923', 'col_925']	[275, 716, 730, 766, 779, 840, 895, 903, 928, 930]	56.6	0.8331	0.7571
1	['col_281', 'col_300', 'col_1196', 'col_1267', 'col_1343']	[286, 305, 1201, 1272, 1348]	48.41	3.8045	4.0429
1	['col_321']	[326]	53.2	20.772	20.0857
1	['col_332']	[337]	52.21	19.9944	19.7
1	['col_334', 'col_378', 'col_381', 'col_424', 'col_428', 'col_443', 'col_463']	[339, 383, 386, 429, 433, 448, 468]	44.63	1.4996	1.7286
1	['col_355', 'col_454', 'col_637', 'col_1193', 'col_1540', 'col_1574', 'col_1581', 'col_1605', 'col_1760', 'col_1779', 'col_1918', 'col_1957']	[360, 459, 642, 1198, 1545, 1579, 1586, 1610, 1765, 1784, 1923, 1962]	39.29	0.3055	0.4
1	['col_433', 'col_515', 'col_595']	[438, 520, 600]	52.14	8.1366	8.0286
1	['col_445', 'col_1208']	[450, 1213]	47.6	10.7192	11.5857
1	['col_459', 'col_475', 'col_565', 'col_625', 'col_634', 'col_737', 'col_1193', 'col_1655']	[464, 480, 570, 630, 639, 742, 1198, 1660]	40.21	1.083	1.3857
1	['col_474', 'col_533', 'col_551', 'col_554', 'col_557', 'col_570', 'col_633', 'col_634', 'col_659', 'col_750', 'col_783']	[479, 538, 556, 559, 562, 575, 638, 639, 664, 755, 788]	36.67	0.3055	0.4286
1	['col_639', 'col_1251', 'col_1574', 'col_1602', 'col_1628', 'col_1633', 'col_1634', 'col_1655', 'col_1659', 'col_1662', 'col_1679', 'col_1810', 'col_1823', 'col_1910']	[644, 1256, 1579, 1607, 1633, 1638, 1639, 1660, 1664, 1667, 1684, 1815, 1828, 1915]	50.0	0.2222	0.2286
1	['col_687', 'col_697']	[692, 702]	51.83	11.8023	11.7143
1	['col_731', 'col_1976']	[736, 1981]	51.22	11.6912	11.7429
1	['col_783']	[788]	50.11	19.2169	19.7286
1	['col_998']	[1003]	52.3	20.1888	19.8571
1	['col_1151', 'col_1238']	[1156, 1243]	50.06	11.5523	11.8714
1	['col_1267', 'col_1287', 'col_1289', 'col_1309', 'col_1398']	[1272, 1292, 1294, 1314, 1403]	54.96	3.9989	3.7429
1	['col_1316']	[1321]	52.34	20.4665	20.1143
1	['col_1607']	[1612]	52.62	20.8831	20.4143
1	['col_1638', 'col_1848', 'col_1878']	[1643, 1853, 1883]	51.06	7.3591	7.4143
1	['col_1904']	[1909]	52.74	19.7445	19.2571
1	['col_1948']	[1953]	51.46	20.6054	20.6
1	['col_1993']	[1998]	50.52	20.3277	20.7
